Sample_ID,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
AW3.1.1,0.0087194,0.99959,0.0070855,0.99639,1.2306,2.2876,1.6363,0.37915,2.1385,2.2824
AW1.01,0.014436,0.99951,0.014927,0.99388,0.96712,4.1314,1.2745,0.72245,0.47368,0.51025
AW1.01.1,0.015502,0.99624,0.017785,0.99973,0.87162,5.5605,1.7835,0.78384,0.79509,0.80986
AW1.1,0.014715,0.99816,0.013076,0.99889,1.1253,4.5245,1.6965,0.72839,0.80863,0.85536
AW1.1.1,0.014758,0.99806,0.0133,0.99938,1.1097,4.5421,1.7786,0.73494,0.78633,0.79231
AW1.45,0.014267,0.99808,0.013112,0.99959,1.0881,4.3537,1.7609,0.73406,0.79441,0.8009
AW1.ASW,0.03686,0.99968,0.0049716,0.58899,7.4142,6.1492,1.8567,0.40291,1.0714,1.0924
AW1.DI,0.016107,0.9935,0.0052738,0.89991,3.0542,2.7168,1.5483,0.14039,0.89511,1.1129
AW2.01,0.013041,0.99739,0.013728,0.99968,0.94998,4.1852,1.682,0.82657,0.69789,0.74112
AW2.01.1,0.012768,0.99749,0.012766,0.99971,1.0001,4.0378,1.6776,0.84428,0.66412,0.67451
AW2.1,0.0098309,0.99858,0.007577,0.99972,1.2975,2.5942,1.6898,0.74862,0.70575,0.71184
AW2.45,0.01227,0.99851,0.010846,0.99947,1.1313,3.5796,1.6884,0.80885,0.69803,0.71582
AW2.45.1,0.01214,0.99774,0.010402,0.99958,1.1671,3.4694,1.6772,0.80003,0.68331,0.68844
AW2.ASW,0.065737,0.98295,-0.016295+1.2347e-17i,0.67613+8.6615e-17i,-4.0341-3.0568e-15i,-10.6307,2.019,0.5525,0.86018,1.1545
AW2.DI,0.14147,0.90379,-0.016905+1.2347e-17i,0.38129-2.1838e-17i,-8.3684-6.1122e-15i,-14.0214,0.8525,0.27574,0.9821,1.3931
AW3.01,0.013668,0.99908,0.015179,0.99204,0.90046,3.797,1.516,3.4083,0.73001,0.76613
AW3.01.1,0.014436,0.99936,0.014368,0.9936,1.0047,3.9451,1.54,0.477,1.0669,1.0958
AW3.1,-0.00026352,0.98769,-0.00030976,0.99013,0.85071,0.96944,1.0283,1.6225,-0.70591,-8.8197
AW3.45,2.7798e-05,0.14705,-0.00028306,0.98523,-0.098207,0.99592,1.6473,-0.48199,-1.8597,41.9793
AW3.45.1,0.011143,0.99955,0.0096994,0.99521,1.1488,2.9124,1.7142,0.35617,2.0986,2.3269
AW3.45.2,0.011198,0.99955,0.0097332,0.9951,1.1505,2.9077,1.6252,0.38348,2.1159,2.2959
AW3.45.3,0.011191,0.99942,0.0097259,0.99537,1.1506,2.9157,1.5766,0.39771,1.9308,2.151
AW3.ASW,0.12827-0.087266i,0.8853+0.52876i,-0.0087125+1.2347e-17i,0.26659+1.0062e-16i,-14.7225+10.0163i,-3.3167,1.5656,0.17554,1.2501,2
AW3.DI,0.1615-0.087266i,0.93507+0.43103i,0.0015289+1.2347e-17i,0.022567+5.2207e-16i,105.6315-57.0779i,-11.7109,1.9509,0.11335,1.5819,3.1533
AW4.01,0.013187,0.99846,0.014943,0.99368,0.88247,3.6806,1.2903,0.67796,0.49598,0.49598
AW4.01.1,0.014823,0.9976,0.015169,0.99519,0.97714,4.252,1.3336,0.58687,0.64061,0.68118
AW4.1,-5.8198e-05,0.53161,-0.00030602,0.99536,0.19018,0.97637,0.76789,1.0476,-0.32129,-6.3015
AW4.1.1,0.0080664,0.99985,0.0063914,0.99655,1.2621,2.1785,1.5041,0.40955,1.4393,1.5263
AW4.45,-6.7216e-05,0.52704,0.00030331,0.46222,-0.22161,0.97788,1.3189,-0.91743,-0.73847,-1.15
AW4.45.1,0.010447,0.99941,0.009037,0.99623,1.156,2.7245,1.4829,0.42935,1.5078,1.5867
AW4.ASW,0.16705-0.1496i,0.76121+0.10935i,-0.00083017+1.2347e-17i,0.0064092+1.0496e-16i,-201.2273+180.2034i,-20.5232,12.657,0.039821,-0.01722,-0.027466
AW4.DI,0.034828,0.99828,0.0035226,0.92999,9.887,5.877,3.6711,0.13482,0.86194,0.86194
AW5.01,0.015083,0.99847,0.015028,0.99479,1.0036,4.2613,1.2861,0.60662,0.59643,0.63337
AW5.1,0.00011759,0.70666,0.00088976,0.787,0.13216,1.0103,1.3435,0.33519,-1.1719,-1.1812
AW5.1.1,0.0073329,0.99969,0.0057113,0.99768,1.2839,1.9813,1.4422,0.41363,1.3625,1.3695
AW5.45,-0.00012209,0.86141,0.0030989,0.9046,-0.039398,1.0133,1.3206,-0.44165,0.98178,-10.3751
AW5.45.1,0.0093022,0.99956,0.0078874,0.9968,1.1794,2.4405,1.4696,0.42569,1.3838,1.4352
AW5.ASW,0.016796,0.99302,0.0014603,0.39349,11.502,1.9779,1.1448,0.21572,1.0476,1.3123
AW5.DI,-0.052793-0.17453i,0.68671-0.46142i,-0.0094721,0.08402,5.57351+18.426i,6.3126,1.6263,-0.075472,0.10097,0.10097
OW1.01,-0.00013481,0.83874,-0.0002506,0.97974,0.53797,0.96593,1.0616,0.4774,-1.1921,24.887
OW1.01,0.015075,0.9969,0.016734,0.99973,0.90083,5.3029,1.7956,0.7776,0.79213,0.80219
OW1.45,0.014421,0.99823,0.013376,0.9995,1.0782,4.4776,1.7246,0.72451,0.8106,0.86578
OW1.45.1,0.014344,0.99829,0.013319,0.99963,1.077,4.4798,1.7784,0.72607,0.79968,0.80587
OW1.ASW,0.030747,0.99835,0.011673,0.8289,2.6339,6.0603,1.9639,0.47282,0.72001,0.95803
OW1.DI,0.019247,0.99593,0.0077346,0.8518,2.4885,3.8638,2.6283,0.25031,0.77998,1.0186
OW2.01,0.013054,0.99726,0.013226,0.99937,0.98701,4.093,1.4784,0.88327,0.72337,0.7438
OW2.01.1,0.012128,0.99745,0.011357,0.99951,1.0679,3.6231,1.687,0.84454,0.69492,0.70202
OW2.1,0.012406,0.99765,0.011205,0.99966,1.1072,3.652,1.695,0.80569,0.61322,0.63326
OW2.1.1,0.012369,0.99825,0.011097,0.99966,1.1146,3.6379,1.6932,0.80339,0.68835,0.70541
OW2.1.2,0.012164,0.99785,0.010677,0.99968,1.1392,3.5269,1.679,0.79227,0.68619,0.69462
OW2.45,0.011954,0.99747,0.010298,0.99942,1.1608,3.3506,1.7032,0.80148,0.70377,0.71232
OW2.ASW,0.056665-0.187i,-0.64142-0.015792i,-0.0033993+1.2347e-17i,0.3564+1.9245e-16i,-16.6694+55.0109i,-2.4819,2.3735,0.57382,0.64692,1.4478
OW2.DI,-0.058552-5.8968e-18i,0.87915,-0.00099533+1.2347e-17i,0.034824+1.1938e-16i,58.8265+7.35689e-13i,-0.8097,3.6437,0.34727,1.2758,3.3563
OW3.01,0.012992,0.99805,0.015386,0.99194,0.84442,3.5816,1.5328,0.29675,0.6965,0.7436
OW3.01.1,0.015002,0.99818,0.015108,0.99365,0.99299,4.1056,1.6354,0.46834,0.89845,0.89845
OW3.1,9.0613e-05,0.59954,-0.00033788,0.98646,-0.26818,0.99221,0.97756,-2.2787,0.075952,-0.16311
OW3.1.1,0.0090418,0.99966,0.0073736,0.99662,1.2262,2.3539,1.6772,0.3818,2.1738,2.3855
OW3.45,-4.8375e-05,0.61941,-0.00030353,0.99065,0.15937,0.98294,0.75242,-0.53337,-0.40931,-1.7371
OW3.45.1,0.011345,0.99944,0.0099357,0.99541,1.1418,2.9469,1.6945,0.3937,2.0053,2.2051
OW3.ASW,0.045617,0.93471,0.0034021,0.26881,13.4086,11.995,-9.5871,0.45555,0.80561,1.3838
OW3.DI,0.095451,0.99486,-0.018419,0.96403,-5.1822,,-3.2072,0.25903,-0.15776,-0.15776
OW4.01,0.010961,0.99156,0.015174,0.99331,0.72234,3.2853,1.3648,1.6297,0.53271,0.56124
OW4.01.1,0.015197,0.99933,0.015255,0.99321,0.9962,4.2389,1.3767,0.56992,0.68234,0.72037
OW4.1,0.0082923,0.99973,0.0065657,0.99716,1.263,2.1786,1.5069,0.38739,1.5095,1.6065
OW4.1.1,0.0082929,0.99977,0.0065647,0.99778,1.2632,2.1952,1.5153,0.39305,1.5149,1.5449
OW4.45,-8.4883e-05,0.4892,0.00021338,0.38655,-0.3978,0.99304,0.95432,0.29107,-2.0225,-4.8329
OW4.45.1,0.01038,0.99958,0.0089204,0.99574,1.1637,2.7132,1.4814,0.39924,1.513,1.5574
OW4.ASW,0.1236-0.1496i,0.86389+0.21981i,0.0029254+1.2347e-17i,0.25177+7.399e-16i,42.25-51.1376i,-6.0996,1.4272,0.35351,1.1849,1.3377
OW4.DI,0.016372-0.187i,1.2314+0.48053i,0.015787+1.2347e-17i,0.59958+9.5111e-17i,1.03706-11.845i,-9.391,3.1891,0.0017525,0.43316,1.0564
OW5.01,0.013529,0.99763,0.01529,0.99314,0.88481,3.8124,1.2475,0.32306,0.4276,0.44498
OW5.01.1,0.015497,0.99912,0.015296,0.99436,1.0132,4.3946,1.28,0.55911,0.69397,0.70396
OW5.1,0.0001085,0.6541,0.00081968,0.77298,0.13237,0.99422,1.4436,-0.51102,1.757,1.757
OW5.1.1,0.0073028,0.99959,0.0057593,0.99763,1.268,1.9781,1.4866,0.3997,1.4283,1.491
OW5.45,7.1942e-05,0.41174,0.0027761,0.89082,0.025915,1.0143,1.5875,4.0785,2.9704,3.2283
OW5.45.1,0.0092599,0.99965,0.0079655,0.99652,1.1625,2.419,1.4846,0.42459,1.3765,1.4359
OW5.ASW,0.02084,0.70809,0.00090389,0.15733,23.0563,2.0368,2.5643,0.19747,0.90505,1.1083
OW5.DI,-0.05935-5.8968e-18i,0.85603,-0.011082,0.52006,5.3555+5.3211e-16i,0.90265,0.59114,0.80512,-0.49257,-0.49257
OW1.1,0.013686,0.99865,0.011343,0.9995,1.2066,3.9538,1.8074,0.70766,0.82659,0.8523
OW1.1.1,0.013635,0.99843,0.011248,0.99947,1.2122,3.9506,1.7602,0.688,0.8024,0.81378
PostTea01Mar24,0.030586,0.99427,0.024941,0.99055,1.2263,4.0003,1.1583,0.22814,0.42744,0.48569
PostTea29Feb24,0.030258,0.99406,0.024055,0.99096,1.2579,3.872,0.94005,0.18667,0.65284,0.77864
PostTea11Mar24,0.029549,0.99356,0.02139,0.99444,1.3814,3.997,1.9775,0.1658,0.52512,0.62807
PostTea12Mar24,0.030619,0.99396,0.024207,0.99154,1.2649,3.9678,1.9878,0.17687,0.45776,0.56577
PostTea28Mar24,0.030313,0.9941,0.023908,0.99058,1.2679,3.9282,2.4335,0.21389,0.33729,0.37467
PreTea01Mar24,0.030648,0.9942,0.025088,0.98967,1.2216,4.0042,1.2291,0.19108,0.50032,0.61
PreTea11Mar24,0.03002,0.99358,0.022172,0.99394,1.3539,4.0195,0.94837,0.16394,0.36008,0.37265
PreTea12Mar24,0.030595,0.99385,0.024289,0.9903,1.2596,3.9652,2.241,0.23948,0.3945,0.39789
PreTea07Mar24,0.029923,0.99407,0.022606,0.99315,1.3237,4.0877,0.89424,0.12029,0.3741,0.40774
PreTea28Feb24,0.030534,0.99429,0.02467,0.98977,1.2377,3.9573,1.3933,0.22241,0.47396,0.47778
PreTea28Mar24,0.030489,0.99399,0.024256,0.99022,1.257,3.9564,1.9209,0.2735,0.53584,0.63085
PreTea29Feb24,0.030277,0.99427,0.023942,0.99097,1.2646,3.92,1.165,0.19,0.51747,0.55643
