sample_name,Treatment,Wash,Fraction,Group,Cond,units,Salinity_g/L,O2_.,rundate.x,date,Fe2_ppm,Fe2_mg,Fe2_mg.g,FeTotal_ppm,FeTotal_mg,FeTotal_mg.g,Fe3_ppm,Fe3_mg.g,rundate.y,doc_mg_l,npoc_flag,mean_doc_mg_l,sd_doc_mg_l
AW2.01.A,AW,2,0.1,AW 0.1,4.572,mS,2.437334838,24.9,20-Mar-24,3/8/2024,0.7,0.777777778,0.153638151,0.96,1.066666667,0.210703751,0.26,0.057065599,20240307,3.71,NA,3.375,0.473761543
AW2.1.A,AW,2,1,AW 1,4.55,mS,2.424579592,23,20-Mar-24,3/8/2024,1.48,1.644444444,0.32448882,1.82,2.022222222,0.39903355,0.34,0.074544729,20240313,10.24,NA,54.81333333,38.67493934
AW2.45.A,AW,2,0.45,AW 0.45,4.907,mS,2.632214977,24.55,20-Mar-24,3/8/2024,0.58,0.644444444,0.127109358,1.28,1.422222222,0.280517204,0.7,0.153407846,20240307,3.78,NA,3.853333333,0.080829038
AW3.01.A,AW,3,0.1,AW 0.1,0.6294,mS,0.281918875,18.54,20-Mar-24,3/8/2024,1,1.111111111,0.219483073,3.35,3.722222222,0.735268296,2.35,0.515785223,20240307,17.36,NA,15.2,3.054701295
AW3.1.A,AW,3,1,AW 1,0.6392,mS,0.286697115,18.88,20-Mar-24,3/8/2024,2.58,2.866666667,0.565662944,30.19,33.54444444,6.619133439,27.61,6.053470496,20240314,492,NA,579.3866667,81.39363448
AW3.45.A,AW,3,0.45,AW 0.45,0.6745,mS,0.303961247,18.36,20-Mar-24,3/8/2024,1.68,1.866666667,0.36817883,22.43,24.92222222,4.915625685,20.75,4.547446855,20240307,125.4,NA,125.1233333,10.78766116
AW4.01.A,AW,4,0.1,AW 0.1,0.10448,mS,0.039972004,15.68,20-Mar-24,3/8/2024,1.14,1.266666667,0.250210704,3.24,3.6,0.711125158,2.09,0.460914454,20240307,17.51,NA,17.51,NA
AW4.1.A,AW,4,1,AW 1,0.08646,mS,0.032532636,16.74,20-Mar-24,3/8/2024,2.03,2.255555556,0.445075882,16.15,17.94444444,3.540874629,14.12,3.095798747,20240315,167.6,NA,183.52,13.80388351
AW4.45.A,AW,4,0.45,AW 0.45,0.10232,mS,0.039073896,16.21,20-Mar-24,3/8/2024,1.98,2.2,0.433925049,14.19,15.76666667,3.109796187,12.21,2.675871137,20240319,124.24,NA,120.4,6.51300238
AW5.01.A,AW,5,0.1,AW 0.1,0.0389,mS,0.013645794,20.87,20-Mar-24,3/8/2024,0.49,0.544444444,0.107546706,2.86,3.177777778,0.62772159,2.38,0.520174884,20240307,18.38,NA,18.38,NA
AW5.1.A,AW,5,1,AW 1,0.02901,mS,0.009917702,22.19,20-Mar-24,3/8/2024,0.88,0.977777778,0.192939299,14.13,15.7,3.097991239,13.25,2.90505194,20240318,134,NA,144.5866667,10.84887705
AW5.45.A,AW,5,0.45,AW 0.45,0.03076,mS,0.010570199,22.01,20-Mar-24,3/8/2024,0.7,0.777777778,0.153407846,10.72,11.91111111,2.34933158,10.01,2.195923734,20240320,97.68,NA,100.48,4.046924758
OW2.01.A,OW,2,0.1,OW 0.1,5.121,mS,2.757323824,102.6,20-Mar-24,3/8/2024,0.27,0.3,0.059467174,0.31,0.344444444,0.068277126,0.04,0.008809952,20240307,3.24,NA,3.446666667,0.227229693
OW2.1.A,OW,2,1,OW 1,5.104,mS,2.74736822,99.56,20-Mar-24,3/8/2024,0.71,0.788888889,0.157497432,2.06,2.288888889,0.456964381,1.36,0.299466949,20240313,73.4,NA,81.32,8.148914038
OW2.45.A,OW,2,0.45,OW 0.45,4.846,mS,2.596639871,101.8,20-Mar-24,3/8/2024,0.44,0.488888889,0.097047977,1.35,1.5,0.297760838,0.92,0.200712862,20240307,4.04,NA,3.8,0.211660105
OW3.01.B,OW,3,0.1,OW 0.1,0.4894,mS,0.214421391,91.23,20-Mar-24,3/8/2024,1.36,1.511111111,0.299342547,4.79,5.322222222,1.054302059,3.43,0.754959512,20240307,21.99,NA,19.545,3.45775216
OW3.1.A,OW,3,1,OW 1,0.6874,mS,0.310290281,95.62,20-Mar-24,3/8/2024,4.96,5.511111111,1.100263753,34.75,38.61111111,7.70850109,29.8,6.608237338,20240314,645.6,NA,675.0666667,27.14020879
OW3.45.A,OW,3,0.45,OW 0.45,0.5985,mS,0.266895982,92.33,20-Mar-24,3/8/2024,2.7,3,0.595521677,20.4,22.66666667,4.499497115,17.7,3.903975438,20240307,131.93,NA,138.9933333,6.274076293
OW4.01.B,OW,4,0.1,OW 0.1,0.08088,mS,0.030255285,78.97,20-Mar-24,3/8/2024,1.18,1.311111111,0.25972368,4.53,5.033333333,0.997074807,3.35,0.737351127,20240307,37.54,NA,27.875,13.66837408
OW4.1.A,OW,4,1,OW 1,0.09024,mS,0.034082761,85.04,20-Mar-24,3/8/2024,2.3,2.555555556,0.51020295,15.6,17.33333333,3.460506964,13.31,2.950304014,20240315,175.6,NA,180.2933333,5.173058412
OW4.45.A,OW,4,0.45,OW 0.45,0.07872,mS,0.029377376,85.6,20-Mar-24,3/8/2024,1.78,1.977777778,0.39260318,12.79,14.21111111,2.82100824,11.01,2.428405061,20240319,112.32,NA,122.5866667,8.956546954
OW5.01.B,OW,5,0.1,OW 0.1,0.02849,mS,0.009724473,97.41,20-Mar-24,3/8/2024,0.38,0.422222222,0.083639829,7.34,8.155555556,1.615569334,6.96,1.531929505,20240307,12.54,NA,16.425,5.49421969
OW5.1.A,OW,5,1,OW 1,0.02518,mS,0.00850198,80.29,20-Mar-24,3/8/2024,0.83,0.922222222,0.184116717,14.28,15.86666667,3.167694837,13.45,2.98357812,20240318,156.64,NA,154.6933333,2.965760161
OW5.45.A,OW,5,0.45,OW 0.45,0.02586,mS,0.008752033,89.94,20-Mar-24,3/8/2024,0.7,0.777777778,0.154394509,10.53,11.7,2.32253454,9.83,2.168140031,20240320,97.04,NA,106.08,7.88274064
OW1.1.A,OW,1,1,OW 1,35.86,mS,22.90639346,101,20-Mar-24,3/8/2024,0.33,0.366666667,0.073203032,1.32,1.466666667,0.292812128,0.98,0.219609096,20240311,132.8,NA,111.8933333,18.26407768
OW1.45.A,OW,1,0.45,OW 0.45,36.38,mS,23.26794815,102,20-Mar-24,3/8/2024,0.47,0.522222222,0.103664885,0.91,1.011111111,0.200712862,0.44,0.097047977,20240307,9.1,NA,9.513333333,0.360185138
OW1.01.A,OW,1,0.1,OW 0.1,35.5,mS,22.6563555,100,20-Mar-24,3/8/2024,0.06,0.066666667,0.013214928,0.06,0.066666667,0.013214928,0,0,20240307,7.67,NA,8.386666667,1.089143394
AW1.1.A,AW,1,1,AW 1,36.24,mS,23.17056159,31.27,20-Mar-24,3/8/2024,0.35,0.388888889,0.076737221,1.37,1.522222222,0.300371408,1.03,0.223634187,20240311,120.32,NA,117.3066667,10.76121431
AW1.45.A,AW,1,0.45,AW 0.45,35.45,mS,22.62164556,31.89,20-Mar-24,3/8/2024,0.31,0.344444444,0.06793776,0.66,0.733333333,0.144641683,0.34,0.076703923,20240307,9.1,NA,9.333333333,0.217332311
AW1.01.A,AW,1,0.1,AW 0.1,36.31,mS,23.21925075,31.27,20-Mar-24,3/8/2024,0.05,0.055555556,0.010974154,0.13,0.144444444,0.0285328,0.08,0.017558646,20240307,9.38,NA,8.355,1.449568901
