Sample,LBC 1,LBCeq,pH 2,"Base_sat_%
Satur-
ation",CEC_meq/100g,Ca_ppm,Cd_ppm,Cr_ppm,Cu_ppm,Fe_ppm,K_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Ni_ppm,P_ppm,Pb_ppm,Zn_ppm,C_%,N_%
C_C3_0,672,1949,5.6,67.02,16.55,1472,0.07,0.09,0.3,93.2,178.7,386.3,29.21,0.06,11.83,0.77,25.96,0.97,5.04,5.27,0.27
C_C3_5,1040,3016,4.53,21.26,18.92,405,0.06,0.21,0.36,223.9,107.9,200.2,3.6,0.05,11.76,3.89,12.6,2.03,2.97,3.2,0.17
C_C3_10,1856,5382,4.85,14.42,27.04,401,0.05,0.24,0.26,155.9,81.5,197.2,3.79,0.05,9.43,2.57,9.07,1.65,2.22,1.84,0.11
C_C3_15,1131,3280,4.63,26.69,21.21,582,0.06,0.33,0.31,124.8,133,282.5,4.65,0.06,12.41,3.27,9.78,0.82,2.27,1.72,0.1
C_C3_20,1256,3642,4.67,25.14,22.67,520,0.07,0.39,0.34,108.8,158.3,315.8,3.25,0.07,13.91,2.38,8.96,0.56,2.22,2.67,0.15
C_C3_25,1117,3239,4.57,24.06,20.73,487,0.06,0.31,0.28,136.2,120.9,262.8,3.63,0.06,12.13,1.2,9.76,0.95,2.29,2.54,0.14
C_C3_30,1443,4185,4.6,19.99,25.1,340,0.05,0.33,0.41,103.4,127.8,351.7,3.25,0.05,13.21,1,11.11,0.4,1.46,0.95,0.05
C_C3_40,1526,4425,4.46,20.11,28.14,241,0.05,0.32,0.6,91.9,169.3,475.4,0.98,0.05,14.18,1.06,14.7,0.62,1.95,0.6,0.04
C_C6_0,920,2668,5.12,61.89,26.32,2264,0.12,0.12,0.34,94.4,252.4,509.5,32,0.07,17.24,0.88,29.26,1.1,7.75,6.31,0.33
C_C6_5,982,2848,4.53,32.5,20.84,789,0.05,0.28,0.35,155,146.6,288.9,2.45,0.05,10.75,3.63,10.25,1.54,3.37,2.76,0.15
C_C6_10,1139,3303,4.74,35.64,23.2,992,0.05,0.23,0.32,99.9,165.8,340.1,3.87,0.05,11.31,3.35,10.92,0.95,3.05,2.68,0.14
C_C6_15,874,2535,4.58,39.56,20.3,966,0.05,0.27,0.3,97.5,153.8,331,2.58,0.05,10.65,2.26,10.27,0.8,2.45,1.89,0.11
C_C6_20,1126,3265,4.78,37.82,23.32,1054,0.04,0.26,0.25,52.5,162.4,369.3,1.28,0.04,11.64,1.15,8,0.33,1.04,1.52,0.09
C_C6_25,863,2503,4.57,41.86,20.92,1006,0.05,0.35,0.34,87.3,168.6,389.4,1.27,0.05,12.07,1.1,11.86,0.72,1.58,1.6,0.1
C_C6_30,1701,4933,4.62,21.15,29.78,727,0.05,0.29,0.39,69.1,137,270.9,0.85,0.05,12.57,0.87,9.14,0.46,0.61,0.57,0.05
C_C6_40,1880,5452,4.5,17.08,32.87,594,0.04,0.34,0.44,75.3,144.1,266.6,0.49,0.04,12.37,0.85,11.15,0.41,0.69,0.46,0.04
C_F4_0,811,2352,5.42,70.71,25.38,2509,0.1,0.1,0.52,57.2,251.6,560,44.35,0.1,20.17,0.9,28.1,0.82,9.19,11.9,0.61
C_F4_5,505,1465,4.9,64.44,17.3,1424,0.07,0.16,0.42,158.8,157.8,427.4,20.8,0.06,12.91,2.83,11.87,2.21,4.16,3.07,0.2
C_F4_10,2195,6366,5.25,28.19,31.03,1050,0.04,0.19,0.34,121.5,122.2,375.3,12.01,0.04,13.49,2.3,10.71,1,2.7,2.28,0.14
C_F4_15,698,2024,4.76,51.69,18.77,1182,0.06,0.2,0.33,107.7,131.7,409,17.91,0.05,10.78,2.36,12.9,0.83,3.46,2.49,0.16
C_F4_20,1131,3280,5.17,47.06,22.67,1345,0.07,0.17,0.39,137,144.4,423,24.73,0.05,11.53,2.29,15.08,1.1,4.13,3.32,0.2
C_F4_25,1418,4112,4.68,26.7,26.03,780,0.06,0.23,0.28,92.2,115.3,324.8,4.13,0.06,10.58,0.97,11.92,0.69,1.74,1.73,0.11
C_F4_30,2477,7183,4.71,13.99,38.25,400,0.04,0.29,0.47,96.5,129.6,355.6,2.35,0.04,12.43,0.88,24.31,0.21,1.43,1.06,0.07
C_F4_40,2352,6821,4.58,13.14,38,266,0.04,0.25,0.59,85.3,138.4,390.3,1.13,0.04,13.11,1.36,16.46,0.16,1.46,0.51,0.05
C_H3_0,1018,2952,4.88,43.36,22.1,1333,0.16,0.09,0.43,65.4,179.1,286.9,55.03,0.09,15.57,1.09,32.22,1.2,11.41,6.68,0.4
C_H3_5,794,2303,4.55,24.54,14.95,441,0.09,0.1,0.37,147.4,92.8,141.7,1.4,0.05,10.13,3.29,14.38,1.66,3.97,3.53,0.21
C_H3_10,1112,3225,4.66,18.35,18.48,405,0.06,0.15,0.29,168.4,105.9,126,4.24,0.06,10.05,2.46,11.9,1.79,3.38,3.28,0.19
C_H3_15,1072,3109,4.58,15.86,17.88,330,0.06,0.18,0.25,165.2,97.1,107.7,3.72,0.05,8.93,2.45,10.84,1.13,2.91,2.93,0.17
C_H3_20,1021,2961,4.56,14.46,16.89,272,0.06,0.2,0.23,168.7,95.8,95.3,2.65,0.05,10.17,2.07,9.05,1.1,2.65,2.01,0.12
C_H3_25,867,2514,4.5,12.99,14.45,166,0.05,0.26,0.23,124.3,101.1,89,1.53,0.05,10.24,0.99,5.97,0.44,1.24,1.2,0.08
C_H3_30,1499,4347,4.54,17.53,25.93,320,0.04,0.3,0.44,131.9,129.7,306.4,2.17,0.04,13.32,0.93,6.22,0.22,1.91,0.94,0.06
C_H3_40,1653,4794,4.48,17.36,29.23,271,0.05,0.31,0.56,137.5,158.5,389.5,1.16,0.05,14.96,1.3,7.29,0.18,1.81,0.7,0.05
C_H6_0,643,1865,5.79,74.63,17.78,1958,0.09,0.08,0.38,66.4,181.5,356,42.13,0.08,11.86,0.68,16.59,0.52,7.55,6.06,0.3
C_H6_5,937,2717,4.55,24.89,17.73,561,0.06,0.1,0.32,127.3,115.8,151.5,13.23,0.06,10.27,4.2,18.18,1.88,3.24,3.25,0.21
C_H6_10,1026,2975,4.59,17.1,17.3,371,0.06,0.11,0.28,119.2,84.9,100.9,6.96,0.06,9.85,2.56,12.28,1.95,2.36,3.01,0.2
C_H6_15,953,2764,4.38,13.31,16.71,250,0.05,0.2,0.25,129.3,81.6,87.3,3.72,0.05,8.44,4.37,8.13,0.9,2.07,2.64,0.17
C_H6_20,889,2578,4.46,12.06,14.89,186,0.05,0.2,0.28,129.1,76.5,73.9,2.74,0.05,12.81,1.96,7.77,0.8,1.86,1.32,0.09
C_H6_25,892,2587,4.46,11.41,14.83,168,0.04,0.21,0.22,106.8,76.4,74.4,2.74,0.04,8.25,1.66,6.69,0.68,1.4,1.04,0.08
C_H6_30,949,2752,4.54,12.98,15.56,201,0.05,0.3,0.23,114.3,79.2,92.4,2.91,0.05,9.21,1.29,6.5,0.28,0.95,0.93,0.06
C_H6_40,1222,3544,4.47,15.65,21.26,291,0.05,0.39,0.28,121.8,108.6,185.9,0.88,0.05,10.51,0.95,11.94,0.14,0.73,0.6,0.05
F_C3_0,760,2204,5.95,79.98,23.12,2722,0.09,0.08,0.42,42,228,507.4,38.71,0.08,15.83,0.83,27.57,0.35,7.21,9.13,0.52
F_C3_5,473,1372,5.33,63.01,12.39,1094,0.06,0.07,0.32,73.3,131.9,234.9,13.78,0.06,9.77,1.44,10.1,0.48,2.63,6.3,0.37
F_C3_10,616,1786,5.39,67.02,17.44,1570,0.09,0.16,0.31,91,168,403.5,17.79,0.05,11.46,2.7,12.31,0.5,3.69,3.98,0.24
F_C3_15,560,1624,5.15,65.83,17.58,1527,0.08,0.17,0.34,106.1,178.4,411.9,16.1,0.05,11.41,3.5,12.2,0.34,3.35,3.46,0.23
F_C3_20,609,1766,5.28,62.24,16.09,1302,0.07,0.18,0.26,114.5,162.3,364.2,12.07,0.05,11.69,2.71,11.17,0.56,2.69,2.62,0.19
F_C3_25,956,2772,4.89,35.01,18,774,0.04,0.17,0.22,108.5,110.5,252,3.96,0.04,11.12,2.17,6.33,0.1,1.29,1.51,0.12
F_C3_30,893,2590,4.61,33.88,18.72,735,0.05,0.24,0.36,76.2,149.6,266.3,2.76,0.05,14.58,1.12,14.07,0.19,1.46,1.57,0.13
F_C3_40,2258,6548,4.57,17.49,38.57,760,0.05,0.28,0.49,86.3,170.9,292.7,2.79,0.05,15.33,0.66,15.52,0.12,1.63,1.15,0.09
F_C6_0,342,992,5.33,75.42,13.47,1358,0.07,0.05,0.26,43.8,153.1,351.3,20.86,0.05,11.37,0.8,13.76,0.63,3.82,4.58,0.3
F_C6_5,502,1456,5.04,55.93,12.95,896,0.06,0.15,0.37,85.2,172.3,273.2,7.3,0.05,9.99,2.29,11.46,1.02,2.08,2.11,0.16
F_C6_10,821,2381,4.82,34.38,15.82,676,0.05,0.23,0.48,92.3,146.9,197.5,3.59,0.05,9.13,2.07,9.45,0.43,1.68,1.42,0.11
F_C6_15,866,2511,4.72,30.36,16.44,641,0.05,0.21,0.35,89.7,118.5,173.5,3.47,0.05,9.24,2.93,9.19,0.24,1.51,1.28,0.1
F_C6_20,691,2004,5.07,48.2,14.93,943,0.05,0.16,0.33,79.5,150.9,247,9.5,0.05,9.23,2.55,11.63,0.35,1.93,2.33,0.16
F_C6_25,738,2140,4.84,37.93,14.89,707,0.05,0.2,0.37,88,146.6,202.9,5.63,0.05,11.22,2.21,9.94,0.57,1.72,1.62,0.11
F_C6_30,1303,3779,4.77,18.88,20.78,506,0.05,0.2,0.24,87.9,80.4,136.7,5.41,0.05,10.79,0.95,7.92,0.23,1.35,0.93,0.07
F_C6_40,1538,4460,4.58,19.51,26.82,593,0.04,0.24,0.43,72.6,121.4,226.3,2.81,0.04,16.6,0.94,6.09,0.24,1.2,0.64,0.06
F_F4_0,543,1575,5.87,83.39,21.43,2364,0.12,0.09,0.3,46.3,248.5,641.8,37.05,0.06,13.75,0.99,29.32,0.69,7.38,7.82,0.43
F_F4_5,446,1293,5.57,74.24,14.36,1230,0.07,0.12,0.28,60.1,202.5,474.3,22.03,0.05,9.32,2.77,12.25,1.01,3.42,2.97,0.19
F_F4_10,607,1760,5.1,53.65,14.43,858,0.05,0.17,0.26,58.7,157.7,360.4,12.62,0.05,10.09,2.32,9.72,0.68,2.26,1.89,0.14
F_F4_15,672,1949,4.94,47.86,15.4,806,0.05,0.19,0.28,61.8,149,349.7,12.54,0.05,10.07,2.85,9.84,0.65,2.46,1.91,0.13
F_F4_20,867,2514,5.04,44.88,17.88,900,0.05,0.17,0.25,65.2,157.5,369.2,15.86,0.05,9.64,3.04,11.46,0.44,2.69,2.22,0.16
F_F4_25,971,2816,4.79,32.75,18.51,625,0.05,0.24,0.24,69,137.6,304.8,7.12,0.05,9.96,2.18,7.93,0.43,1.73,1.31,0.09
F_F4_30,1274,3695,4.74,24.77,22.2,561,0.04,0.27,0.3,92.5,141.1,273.9,6.03,0.04,11.3,0.87,7.95,0.18,1.62,1.48,0.1
F_F4_40,1616,4686,4.51,11.91,26.49,229,0.04,0.26,0.33,90,116.7,199.6,1.2,0.04,10.72,1.14,19.88,0.08,1.18,0.54,0.04
F_H3_0,452,1311,6.08,88.51,20.98,2402,0.14,0.07,0.31,38.1,290.8,690.6,35.48,0.06,14.64,1.52,25.76,1.31,7.08,6.67,0.41
F_H3_5,544,1578,5.4,64.29,14.14,1026,0.08,0.11,0.28,54.4,218.7,402.6,21.15,0.05,9.64,2.98,14.03,1.67,2.85,3.69,0.23
F_H3_10,1092,3167,4.86,28.08,18.85,553,0.05,0.17,0.34,73.2,144.2,254.3,5.95,0.05,8.8,2.76,7.62,7.48,1.64,1.45,0.1
F_H3_15,789,2288,4.78,37.27,16.19,674,0.05,0.23,0.31,73.2,150.4,268.9,12.05,0.05,8.9,3.15,8.74,0.99,2.25,1.79,0.11
F_H3_20,881,2555,4.91,39.47,17.64,751,0.06,0.19,0.33,68.7,175.6,326.2,13.44,0.05,9.29,2.41,11.95,6.62,2.4,1.92,0.13
F_H3_25,1608,4663,4.55,18.32,27.97,478,0.05,0.4,0.4,89.4,147.4,277.3,3.21,0.05,10.2,2.54,8.18,0.64,1.61,0.96,0.07
F_H3_30,1122,3254,4.65,25.41,20.5,495,0.05,0.28,0.32,87.7,124.2,285,11.07,0.04,9.6,0.66,17.59,0.68,2.08,1.46,0.1
F_H3_40,1110,3219,4.46,22.07,20.98,405,0.05,0.39,0.41,93.7,128.3,267.9,3.26,0.05,10.21,0.61,16.58,0.23,1.64,0.75,0.18
F_H6_0,589,1708,6.21,83.94,16.81,1766,0.09,0.09,0.29,42.7,237.1,555.9,27.26,0.06,8.09,1.36,20.05,0.91,5.12,4.49,0.29
F_H6_5,562,1630,5.87,73.46,13.88,1194,0.08,0.08,0.24,39.9,223.2,434.3,18.04,0.05,7.28,3.61,12.89,0.86,3.29,3.15,0.21
F_H6_10,530,1537,5.45,60.32,12.01,817,0.05,0.12,0.26,46.3,176.4,320.6,9.36,0.05,7.9,1.95,7.09,0.55,1.53,1.96,0.14
F_H6_15,616,1786,4.88,47.63,14.46,763,0.05,0.17,0.26,57.4,160.1,315.3,9.87,0.05,8.37,2.37,7.85,0.37,1.2,1.68,0.12
F_H6_20,711,2062,4.97,48.18,16.16,905,0.05,0.14,0.46,55.4,165.2,335.8,16.79,0.05,8.7,3.44,10.74,0.41,2.02,1.87,0.13
F_H6_25,798,2314,4.87,40.03,16.44,731,0.05,0.16,0.24,59.5,152,300.4,10.91,0.05,7.49,2.64,9.42,0.41,1.35,1.48,0.11
F_H6_30,1068,3097,4.45,26.04,21.36,532,0.04,0.22,0.22,68.7,124,304.5,5.42,0.04,10.53,0.9,6.53,0.24,1.14,0.93,0.07
F_H6_40,1345,3901,4.33,21.02,26.37,488,0.04,0.25,0.42,74.9,121.7,328.2,4.48,0.04,13.35,0.81,9.45,0.33,2.74,0.7,0.06
S_C3_0,717,2079,6.11,78.11,16.91,1733,0.09,0.06,0.29,48.8,266.9,458.4,33.53,0.06,8.67,0.97,34.94,1.11,5.94,4.19,0.29
S_C3_5,806,2337,5.21,47.83,16.04,997,0.09,0.08,0.38,74.4,184.4,261.1,23.82,0.05,9.15,4.22,17.24,2.28,3.97,3.28,0.21
S_C3_10,776,2250,4.94,40.39,15.55,815,0.06,0.09,0.26,75.4,154.6,212.3,17.12,0.05,9.01,3.68,13.76,1.82,3.13,3.17,0.19
S_C3_15,860,2494,4.65,29.18,16.55,615,0.05,0.13,0.24,77.7,135.4,164.6,10.48,0.05,8.62,3.05,10.28,1.56,2.4,2.44,0.15
S_C3_20,870,2523,4.46,21.12,16.25,439,0.04,0.16,0.22,79.5,102.3,113,3.57,0.04,7.31,2.09,6.51,0.78,1.4,1.24,0.1
S_C3_25,870,2523,4.44,19,15.95,403,0.04,0.15,0.22,76.6,95.8,88.4,3.56,0.04,7.89,1.4,6.17,0.28,0.85,1.09,0.08
S_C3_30,1015,2944,4.35,25.43,20.92,675,0.04,0.29,0.23,77.8,94.1,198.6,1.74,0.04,11.78,1.26,11.34,0.07,0.99,0.82,0.07
S_C3_40,1579,4579,4.36,21.38,30.75,767,0.04,0.44,0.43,87.8,140.7,278.8,1.79,0.04,12.79,1.15,12.48,0.25,1.4,0.99,0.08
S_C6_0,852,2471,5.86,68.69,17.99,1754,0.09,0.08,0.3,61.4,224.5,357.4,28.53,0.06,7.6,1.14,20.08,1.25,4.49,4.41,0.3
S_C6_5,826,2395,4.99,39.96,16.04,866,0.09,0.09,0.41,83.6,157,196.7,12.2,0.05,8.68,2.86,11.04,1.74,3.44,2.82,0.19
S_C6_10,800,2320,4.78,32.19,15.19,652,0.05,0.14,0.29,79.4,128.3,152.3,8.37,0.04,7.4,2.66,7.46,0.99,2.41,1.87,0.12
S_C6_15,845,2451,4.75,30.47,15.86,650,0.06,0.12,0.3,78.2,121.5,147.6,10.27,0.04,9.6,2,7.37,0.72,2.23,1.71,0.13
S_C6_20,909,2636,4.69,27.66,16.84,628,0.05,0.13,0.36,86.6,110.7,143.4,9,0.05,8.92,1.53,8.47,0.59,2.04,1.79,0.13
S_C6_25,902,2616,4.58,21.85,16.2,483,0.04,0.13,0.28,71.2,73.1,107.1,7.19,0.04,10.04,1.15,5.03,0.25,1.11,1.05,0.09
S_C6_30,1000,2900,4.55,25.24,19.01,626,0.04,0.17,0.21,66.3,84.5,170,3.58,0.04,8.14,0.9,4.46,0.2,1.03,0.82,0.07
S_C6_40,1166,3381,4.45,22.55,22.27,623,0.04,0.18,0.26,65.9,103.9,191.7,4.61,0.04,9.91,1.04,4.8,0.33,1.25,1.1,0.07
S_F4_0,837,2427,5.85,63.84,15.44,1239,0.11,0.05,0.26,40.2,239.4,360.2,21.96,0.05,10.28,0.65,28.24,1.28,5.44,5.35,0.33
S_F4_5,553,1604,5.73,63.7,11.22,861,0.06,0.12,0.26,71.9,219.3,270,9.73,0.05,7.09,2.78,9.09,1.24,1.97,2.45,0.17
S_F4_10,617,1789,5.13,43.61,11.87,587,0.04,0.18,0.23,72.4,183.2,209,5.01,0.04,6.72,2.6,6.77,1.02,1.17,1.34,0.1
S_F4_15,785,2277,4.85,30.12,14.01,480,0.04,0.17,0.22,87.7,160.2,164.9,8.29,0.04,7.46,2.41,6.46,0.69,1.18,1.34,0.1
S_F4_20,757,2195,4.88,20.96,11.78,249,0.04,0.22,0.22,86,121.7,106,3.01,0.04,6.75,1.9,5.14,0.19,0.6,1.28,0.1
S_F4_25,1007,2920,4.45,14.19,17.36,249,0.04,0.23,0.21,82.9,121.2,104.7,2.85,0.04,7.26,1.92,5.13,0.33,0.61,0.74,0.06
S_F4_30,1038,3010,4.33,19.22,19.9,388,0.05,0.27,0.24,76,110.2,187.7,2.16,0.05,8.36,1.17,3.99,0.13,0.66,0.67,0.06
SF440,1384,4014,4.31,18.51,26.5,474,0.04,0.29,0.3,72.8,117.1,263,0.87,0.04,10.35,1.15,6.52,0.12,0.71,0.51,0.05
S_H3_0,897,2601,5.96,66.47,16.14,1316,0.06,0.05,0.27,36.9,204.1,430.5,19.85,0.05,8.11,0.78,23.77,1.28,4.69,4.57,0.3
S_H3_5,632,1833,5.29,50.69,12.71,834,0.06,0.05,0.4,45.3,146.8,224,20.02,0.05,7.58,3.86,14.58,1.48,4.3,3.03,0.22
S_H3_10,655,1900,5.15,39.37,11.59,560,0.05,0.06,0.24,50.8,121.1,170.8,13.69,0.05,7.27,3.4,10.01,1.41,2.74,2.1,0.16
S_H3_15,678,1966,4.95,32.33,11.91,455,0.04,0.08,0.22,47.8,106.7,152.9,10.52,0.04,6.5,3.34,8.3,1.04,2.21,2.03,0.15
S_H3_20,712,2065,4.82,24.25,11.88,324,0.04,0.12,0.22,51.7,91.7,120.2,5.11,0.04,5.75,2.54,6,0.72,1.68,1.42,0.1
S_H3_25,818,2372,4.61,16.5,13.58,232,0.04,0.14,0.19,54,92.4,98.2,4.62,0.04,5.9,2.69,4.37,0.21,1.1,0.8,0.07
S_H3_30,939,2723,4.54,13.9,15.56,252,0.04,0.19,0.21,72.2,71.9,82.7,7.05,0.04,6.52,1.25,5.22,0.13,0.71,0.79,0.07
S_H3_40,1329,3854,4.37,11.96,23.03,300,0.04,0.31,0.22,76.3,75.5,123.5,2.49,0.04,7.45,1.41,4.77,0.06,0.57,0.53,0.05
S_H6_0,608,1763,6.17,79.47,14.26,1547,0.07,0.07,0.24,50.9,218.5,360.9,24.74,0.05,6.76,0.59,16.04,1.26,5.1,4.22,0.29
S_H6_5,682,1978,5.5,60.57,15.05,1179,0.09,0.12,0.35,96.4,169.7,330.7,16.48,0.05,6.7,2.26,11.58,1.39,4.19,2.81,0.21
S_H6_10,743,2155,5.19,46.4,14.55,845,0.06,0.17,0.26,74.2,145.3,254.5,7.67,0.05,7.45,2.33,9.43,1.45,2.37,2.49,0.18
S_H6_15,750,2175,4.9,42.52,15.89,852,0.07,0.18,0.27,72.8,149.4,249.3,10.22,0.05,8.93,2.36,11.58,1.41,2.79,2.91,0.21
S_H6_20,932,2703,4.79,31.79,17.51,676,0.05,0.2,0.28,74.6,133.2,217.6,5.29,0.05,7.72,2.25,9.55,1.34,1.96,1.54,0.11
S_H6_25,959,2781,4.73,28.36,17.62,606,0.05,0.22,0.23,74.8,123.6,194.2,5.16,0.05,7.28,2.13,7.76,0.67,1.5,1.32,0.1
S_H6_30,972,2819,4.66,21.09,16.72,427,0.05,0.21,0.23,84.6,114,128.2,6.04,0.05,6.46,0.92,6.69,0.32,0.92,0.88,0.08
S_H_640,1332,3863,4.37,12.58,23.24,318,0.04,0.3,0.23,78.4,93.4,127.4,3.02,0.04,7.18,1.55,6.05,0.26,0.76,0.74,0.07
