Sample _ID,Vial_#,Date,Time,Conductivity,units,Notes,Diluted,"General notes: calibrated before running samples to 99.3 uS/cm standard, after calibrating standard read as 99.98. Rinsed 2x with DI water before 1x sample rinse and then measuring 1x with sample (sample volume limited)"
TMP_C_C6,,20230628,,69.97,uS,,no,
TMP_FW_D5,,20230608,,56.74,uS,,no,
TMP_EST_D1C,,,1100,12.43,mS,,no,
TMP_C_POOLED_T2_,32,NA,,18.96,uS,"3x DI rinse then shaken out as much as possible (not enough volume for sample rinse), Not much volume. Sample went just above sensor but not enough to fill entire cell",no,
TMP_FW_WELL_T1,27,NA,,44.6,uS,,no,
TMP_SW_POOLED_T2,18,NA,,8225,uS,,no,
TMP_SW_H3,,20230627,,3696,uS,Not much volume. Had enough to fill the chamber,no,
TMP_FW_F4,,20230608,,62.96,uS,,no,
TMP_EST_D10C,,202206,,11.71,mS,MUCHO,no,
TMP_FW_POOLED,28,20220613,,73.04,uS,,no,
TMP_C_POOLED,31,20220615,,38.66,uS,,no,
TMP_SW_WELL_T3,14,NA,,4309,uS,NOT A LOT,no,
TMP_FW_I5,,20230627,,160.1,uS,NOT A LOT. Had enough to fill the chamber. Value seems high for FW,no,
TMP_SW_B4,,20230608,,10.23,mS,NOT A LOT,no,
TMP_SW_WELL_T2,33,NA,,5111,uS,NOT A LOT,no,
TMP_C_POOLED_T4,37,NA,,35.52,mS,NOT A LOT,no,
TMP_FW_H6_T2,11,1600,1600,76.44,uS,PLENTY,no,
TMP_C_F6,,20230628,,22.16,uS,NOT A LOT,no,
TMP_FW_C3,,20230607,,75.3,uS,VERY LITTLE,no,
TMP_SW_POOLED_T3,38,NA,,7751,uS,VERY LITTLE,no,
TMP_SW_SOURCE_hr5,36,NA,,12.82,mS,NOT A LOT,no,
TMP_SW_SOURCE_hr3,17,NA,,3571,uS,VERY LITTLE,yes,
TMP_FW_B4,,20230627,800,45.74,uS,VERY LITTLE,no,
TMP_FW_C3,,20230607,,73.06,uS,NOT A LOT,no,
TMP_SW_POOLED_T4,39,NA,,5946,uS,NOT A LOT,no,
TMP_FW_SOURCE_hr1,26,NA,,119,uS,NOT A LOT,no,
TMP_FW_WELL_T3,7,NA,,57.95,uS,NOT A LOT,no,
TMP_SW_D5,,20230627,,3523,uS,,no,
TMP_SW_C3,,20230614,,1782,uS,VERY LITTLE,yes,
TMP_EST_BARGE_hr8,10,NA,,12.47,mS,NOT A LOT,no,
TMP_SW_POOLED_T1,25,,,4040,uS,MUCHO,no,
TMP_SW_POOLED,9,20220613,,28.72,mS,MUCHO,no,
TMP_SW_F6,,20230627,,5257,uS,VERY LITTLE,no,
TMP_FW_SOURCE,,20230606,1511,104.8,uS,VERY LITTLE,no,
TMP_FW_POOLED_T0,29,NA,,206.2,uS,NOT A LOT,no,
TMP_FW_POOLED_T1,24,NA,,76.95,uS,MUCHO,no,
TMP_EST_BARGE_HR4,8,NA,,12.87,mS,MUCHO,no,
TMP_C_H6,,20230628,,43.31,uS,NOT A LOT,no,
TMP_FW_SOURCE,,20230606,718,107.6,uS,NOT A LOT,no,
TMP_FW_POOLED_T2,34,NA,,82.1,uS,NOT A LOT,no,
TMP_C_POOLED_T3,15,NA,,29.4,uS,NOT A LOT,no,
TMP_FW_POOLED_T3,1,NA,,94.07,uS,NOT A LOT,no,
TMP_FW_SOURCE,,20230607,1300,109.7,uS,VERY LITTLE,no,
TMP_SW_B4,,20230607,800,2591,uS,VERY LITTLE,yes,
TMP_FW_POOLED_T4,40,,,83.06,uS,VERTY LITTLE,no,
TMP_SW_SOURCE_hr2,23,,,12.54,mS,NOT A LOT,no,
TMP_SW_SOURCE_hr0,2,,,3454,uS,NOT A LOT,yes,
TMP_SW_SOURCE,,20230606,1301,11.62,mS,NOT A LOT,no,
TMP_FW_SOURCE,,20230607,611,28.14,uS,VERY LITTLE,yes,
TMP_SW_H6,,20230612,,9753,uS,NOT A LOT,no,
TMP_SW_SOURCE_hr1,35,,,12.45,mS,NOT A LOT,no,
TMP_FW_WELL_T2,20,,,14.13,uS,VERY LITTLE,yes,
TMP_FW_SOURCE_hr2,5,,,32.44,uS,NOT A LOT,yes,
TMP_FW_D5,,20230607,1600,15.86,uS,NOT A LOT,yes,
TMP_SW_I5,,20230607,1600,2467,uS,ALMOST NOTHING,yes,
TMP_SW_D5,,20230614,,2591,uS,NOT A LOT,yes,
TMP_SW_SOURCE_hr4,30,,,12.79,mS,NOT A LOT,no,
TMP_FW_POOLED_PREW,19,,,51.24,uS,VERY LITTLE,yes,
TMP_C_POOLED,4,20220613,,45.53,uS,PLENTY,no,
TMP_SW_C3,,20230606,,8821,uS,NOT A LOT,no,
TMP_FW_F6,,20230627,,43.95,uS,NOT A LOT,no,
TMP_FW_C3,,20230606,,19.52,uS,VERY LITTLE,yes,
TMP_EST_D1C,,,1500,12.33,mS,FILLED BOTTLE,no,
TMP_FW_POOLED,22,20220615,,17.45,uS,VERY LITTLE,yes,
TMP_FW_SOURCE_hr3,21,,,120.3,uS,NOT A LOT,no,
TMP_SW_B4,,20230607,1600,2667,uS,ALMOST NOTHING,yes,
TMP_C_H6,,20230707,,13.83,uS,ALMOST NOTHING,yes,
TMP_SW_B4,,20230603,,71.85,uS,NOT A LOT,no,
TMP_SW_B4,,20230627,,6065,uS,NOT A LOT,no,
TMP_SW_ESTUARY,,20230607,1346,3212,uS,ALMOST NOTHING,yes,
TMP_FW_F4,,20230607,800,65.71,uS,NOT A LOT,no,
TMP_SW_D5,,20230607,800,2014,uS,NOT A LOT,yes,
TMP_FW_C3,,20230710,,44.92,uS,NOT A LOT,no,
TMP_FW_D5,,20230603,,36.43,uS,NOT A LOT,no,
TMP_FW_F4,,20230627,,45.84,uS,MUCHO,no,
TMP_SW_D5,,20230606,,6128,uS,NOT A LOT,no,
TMP_SW_SOURCE,,20230607,1255,12.01,mS,NOT A LOT,no,
TMP_FW_I5,,20230608,,144.1,uS,NOT A LOT,no,
TMP_SW_E3,,20230627,,3612,uS,NOT A LOT,no,
TMP_FW_I5,,20230603,,164.7,uS,MUCHO,no,
TMP_FW_H3,,20230627,,47.99,uS,NOT A LOT,no,
TMP_FW_D5,,20230606,,55.47,uS,NOT A LOT,no,
TMP_FW_F4,,20230606,,61.69,us,NOT A LOT,no,
TMP_FW_I5,,20230614,,163.8,uS,NOT A LOT,no,
TMP_C_D5,,20230628,,25.2,uS,MUCHO,no,
TMP_C_C6,,20230603,,32.34,uS,VERY LITTLE,yes,
TMP_FW_F4,,20230710,,34.36,uS,NOT A LOT,no,
TMP_SW_D5,,20230607,1600,7272,uS,NOT A LOT,no,
TMP_SW_E3,,20230607,800,2193,uS,NOT A LOT,yes,
TMP_SW_E3,,20230614,,5144,uS,NOT A LOT,no,
TMP_SW_C3,,20230627,,5627,uS,NOT A LOT,no,
TMP_C_15,,20230603,,42.67,uS,MUCHO,no,
TMP_SW_C3,,20230707,,5528,uS,NOT A LOT,no,
TMP_FW_H3,,20230607,1600,55.6,uS,NOT A LOT,no,
TMP_FW_H3,,20230606,,14.39,us,VERY LITTLE,yes,
TMP_SW_B4,,20230617,,2860,uS,VERY LITTLE,yes,
TMP_FW_15,,20230607,1600,113.7,uS,NOT A LOT,no,
TMP_C_H6,,20230603,,67.6,uS,NOT A LOT,no,
TMP_SW_H6,,20230627,,3293,uS,NOT A LOT,no,
TMP_FW_15,,20230607,800,141.7,uS,NOT A LOT,no,
TMP_FW_F4,,20230607,1600,18.01,uS,NOT A LOT,yes,
TMP_FW_D5,,20230512,,56.57,uS,NOT A LOT,no,
TMP_SW_ESTUARY,,20230607,1700,12.85,mS,NOT A LOT,no,
TMP_FW_C3,,20230627,,50.96,uS,NOT A LOT,no,
TMP_SW_B4,,20230707,,5695,uS,NOT A LOT,no,
TMP_SW_SOURCE,,20230606,709,4665,uS,VERY LITTLE,no,
TMP_SW_SOURCE,,20230607,1515,12.87,mS,NOT A LOT,no,
TMP_SW_D5,,20230617,,5903,uS,MUCHO,no,
TMP_SW_ESTUARY,,20230607,710,13.24,mS,NOT A LOT,no,
TMP_SW_F6,,20230707,,4144,uS,NOT A LOT,no,
TMP_SW_E3,,20230608,,1908,uS,ALMOST NOTHING,yes,
TMP_FW_D5,,20230607,800,57.24,uS,NOT A LOT,no,
TMP_SW_C3,,20230607,800,10.07,mS,NOT A LOT,no,
TMP_SW_C3,,20230608,,3011,uS,VERY LITTLE,yes,
TMP_SW_C3,,20230607,1600,10.82,mS,VERY LITTLE,no,
TMP_C_I5,,20230710,,32.57,uS,NOT A LOT,no,
TMP_FW_C3,,20230608,,0.27,uS,ALMOST NOTHING,yes,
TMP_SW_ESTUARY,,20230606,1236,11.16,mS,NOT A LOT,no,
TMP_SW_SOURCE,,20230607,621,12.08,mS,NOT A LOT,no,
TMP_FW_SOURCE,,20230607,1519,0.05,uS,ALMOST NOTHING,yes,
TMP_SW_ESTUARY,,20230606,1524,11.94,mS,NOT A LOT,no,
TMP_C_H8,,20230710,,249.3,uS,NOT A LOT,no,
TMP_SW_B4,,20230614,,2893,uS,VERY LITTLE,no,
TMP_SW_F4,,20230627,,3604,uS,NOT A LOT,no,
TMP_SW_ESTUARY,,20230606,632,12.82,mS,VERY LITTLE,no,
TMP_SW_F6,,20230614,,2014,uS,VERY LITTLE,yes,
TMP_SW_E3,,20230607,1600,7224,uS,VERY LITTLE,no,
TMP_FW_H6_T2,,20230710,,95.99,uS,NOT A LOT,no,
TMP_FW_H6,,20230608,,30.74,uS,ALMOST NOTHING,yes,
TMP_SW_C6,,20230627,,3922,uS,NOT A LOT,no,
TMP_SW_SOURCE,,20230606,1502,4009,uS,VERY LITTLE,no,
TMP_FW_D5,,20230627,,54.41,uS,NOT A LOT,no,
TMP_FW_D5,,20230710,,42.34,uS,NOT A LOT,no,
TMP_C_I5,,20230628,,29.57,uS,MUCHO,no,
TMP_FW_I5,,20230617,,160.7,uS,VERY LITTLE,no,
TMP_FW_E3,,20230627,,48.22,uS,NOT A LOT,no,
TMP_FW_I5,,20230606,,113.8,uS,NOT A LOT,no,
