ID,ferrozine_ID,Sample_ID_WRONG
AW4.DI,_001,Connor_Fe_080
AW4.ASW,_002,Connor_Fe_081
AW4.1.A,_003,Connor_Fe_073
AW4.1.B,_004,Connor_Fe_074
AW4.1.C,_005,Connor_Fe_075
AW4.45.A,_006,Connor_Fe_076
AW4.45.B,_007,Connor_Fe_077
AW4.45.C,_008,Connor_Fe_078
AW4.01.A,_009,Connor_Fe_079
OW4.ASW,_010,Connor_Fe_072
OW4.1.A,_011,Connor_Fe_063
OW4.1.B,_012,Connor_Fe_064
OW4.1.C,_013,Connor_Fe_065
OW4.45.A,_014,Connor_Fe_066
OW4.45.B,_015,Connor_Fe_067
OW4.45.C,_016,Connor_Fe_068
OW4.01.B,_017,Connor_Fe_069
OW4.01.C,_018,Connor_Fe_070
AW3.1.A,_019,Connor_Fe_053
AW3.1.B,_020,Connor_Fe_054
AW3.1.C,_021,Connor_Fe_055
AW3.45.A,_022,Connor_Fe_056
AW3.45.B,_023,Connor_Fe_057
AW3.45.C,_024,Connor_Fe_058
AW3.01.A,_025,Connor_Fe_059
AW3.01.C,_026,Connor_Fe_060
OW4.DI,_027,Connor_Fe_071
OW3.1.B,_028,Connor_Fe_044
OW3.1.C,_029,Connor_Fe_045
OW3.45.A,_030,Connor_Fe_046
OW3.45.B,_031,Connor_Fe_047
OW3.45.C,_032,Connor_Fe_048
OW3.01.B,_033,Connor_Fe_049
OW3.01.C,_034,Connor_Fe_050
AW3.DI,_035,Connor_Fe_061
AW3.ASW,_036,Connor_Fe_062
AW2.1.C,_037,Connor_Fe_035
AW2.45.A,_038,Connor_Fe_036
AW2.45.B,_039,Connor_Fe_037
AW2.45.C,_040,Connor_Fe_038
AW2.01.A,_041,Connor_Fe_039
AW2.01.C,_042,Connor_Fe_040
OW3.DI,_043,Connor_Fe_051
OW3.ASW,_044,Connor_Fe_052
OW3.1.A,_045,Connor_Fe_043
OW2.45.B,_046,Connor_Fe_026
OW2.45.C,_047,Connor_Fe_027
OW2.01.A,_048,Connor_Fe_028
OW2.01.B,_049,Connor_Fe_029
OW2.01.C,_050,Connor_Fe_030
AW2.DI,_051,Connor_Fe_041
AW2.ASW,_052,Connor_Fe_042
AW2.1.A,_053,Connor_Fe_033
AW2.1.B,_054,Connor_Fe_034
AW1.45.C,_055,Connor_Fe_017
AW1.01.A,_056,Connor_Fe_018
AW1.01.C,_057,Connor_Fe_019
OW2.DI,_058,Connor_Fe_031
OW2.ASW,_059,Connor_Fe_032
OW2.1.A,_060,Connor_Fe_022
OW2.1.B,_061,Connor_Fe_023
OW2.1.C,_062,Connor_Fe_024
OW2.45.A,_063,Connor_Fe_025
OW1.01.B,_064,Connor_Fe_008
OW1.01.C,_065,Connor_Fe_009
AW1.DI,_066,Connor_Fe_020
AW1.ASW,_067,Connor_Fe_021
AW1.1.A,_068,Connor_Fe_012
AW1.1.B,_069,Connor_Fe_013
AW1.1.C,_070,Connor_Fe_014
AW1.45.A,_071,Connor_Fe_015
AW1.45.B,_072,Connor_Fe_016
OW1.DI,_073,Connor_Fe_010
OW1.ASW,_074,Connor_Fe_011
OW1.1.A,_075,Connor_Fe_001
OW1.1.B,_076,Connor_Fe_002
OW1.1.C,_077,Connor_Fe_003
OW1.45.A,_078,Connor_Fe_004
OW1.45.B,_079,Connor_Fe_005
OW1.45.C,_080,Connor_Fe_006
OW1.01.A,_081,Connor_Fe_007
OW5.01.B,_082,Connor_Fe_088
OW5.45.C,_083,Connor_Fe_087
OW5.45.B,_084,Connor_Fe_086
OW5.45.A,_085,Connor_Fe_085
OW5.1.C,_086,Connor_Fe_084
OW5.1.B,_087,Connor_Fe_083
OW5.1.A,_088,Connor_Fe_082
OW5.ASW,_089,Connor_Fe_091
OW5.DI,_090,Connor_Fe_090
AW5.45.C,_091,Connor_Fe_097
AW5.45.B,_092,Connor_Fe_096
AW5.45.A,_093,Connor_Fe_095
AW5.1.C,_094,Connor_Fe_094
AW5.1.B,_095,Connor_Fe_093
AW5.1.A,_096,Connor_Fe_092
AW5.ASW,_097,Connor_Fe_100
AW5.DI,_098,Connor_Fe_099
OW5.01.C,_099,Connor_Fe_089
AW5.01.A,_100,Connor_Fe_098