Software Version,3.08.01,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Kaizad\AMP_Connor_FWSW_2024\2024-03-08\2024-03-08_ferrozine_all.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,,
Date,3/8/24,,,,,,,,,,,,,
Time,2:24:30 PM,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.108,0.108,0.106,0.106,0.113,0.107,0.11,0.109,0.103,0.11,0.11,0.105,977 [Test]
,,0.077,0.079,0.077,0.075,0.077,0.075,0.076,0.077,0.075,0.076,0.078,0.076,900 [Ref]
,,0.171,0.161,0.165,0.172,0.201,0.181,0.185,0.18,0.158,0.191,0.176,0.162,Pathlength
,,0.15,0.16,0.154,0.143,0.132,0.129,0.122,0.127,0.119,0.124,0.122,0.12,562
,,0.879,0.993,0.935,0.829,0.654,0.713,0.662,0.707,0.754,0.651,0.697,0.745,Corrected [562]
,B,0.111,0.114,0.111,0.113,0.118,0.118,0.12,0.118,0.114,0.117,0.119,0.111,977 [Test]
,,0.075,0.08,0.074,0.075,0.079,0.077,0.078,0.077,0.075,0.074,0.077,0.074,900 [Ref]
,,0.204,0.189,0.206,0.207,0.22,0.227,0.233,0.227,0.217,0.236,0.229,0.208,Pathlength
,,0.105,0.112,0.111,0.102,0.104,0.111,0.09,0.088,0.089,0.088,0.088,0.087,562
,,0.516,0.595,0.539,0.495,0.472,0.486,0.385,0.388,0.413,0.371,0.384,0.421,Corrected [562]
,C,0.11,0.125,0.121,0.117,0.118,0.118,0.121,0.118,0.12,0.122,0.118,0.107,977 [Test]
,,0.074,0.079,0.076,0.075,0.077,0.077,0.08,0.078,0.078,0.077,0.077,0.074,900 [Ref]
,,0.197,0.254,0.252,0.236,0.227,0.228,0.23,0.219,0.232,0.249,0.224,0.185,Pathlength
,,0.098,0.1,0.099,0.094,0.096,0.094,0.099,0.098,0.104,0.096,0.094,0.091,562
,,0.5,0.392,0.391,0.399,0.422,0.414,0.431,0.447,0.449,0.386,0.419,0.495,Corrected [562]
,D,0.116,0.117,0.12,0.118,0.115,0.118,0.117,0.117,0.118,0.118,0.117,0.116,977 [Test]
,,0.075,0.078,0.078,0.075,0.075,0.078,0.077,0.076,0.077,0.076,0.077,0.076,900 [Ref]
,,0.227,0.217,0.232,0.234,0.219,0.225,0.227,0.227,0.229,0.228,0.223,0.225,Pathlength
,,0.096,0.097,0.098,0.089,0.085,0.09,0.085,0.085,0.086,0.084,0.084,0.087,562
,,0.424,0.446,0.42,0.38,0.389,0.399,0.374,0.376,0.374,0.367,0.375,0.386,Corrected [562]
,E,0.114,0.113,0.123,0.121,0.118,0.124,0.121,0.12,0.121,0.118,0.116,0.116,977 [Test]
,,0.077,0.077,0.083,0.08,0.077,0.08,0.079,0.078,0.08,0.078,0.076,0.075,900 [Ref]
,,0.205,0.2,0.219,0.233,0.227,0.246,0.234,0.233,0.231,0.224,0.219,0.226,Pathlength
,,0.181,0.179,0.171,0.096,0.094,0.095,0.097,0.097,0.097,0.091,0.088,0.088,562
,,0.882,0.896,0.78,0.412,0.413,0.387,0.413,0.417,0.42,0.405,0.402,0.388,Corrected [562]
,F,0.112,0.113,0.116,0.118,0.118,0.117,0.118,0.118,0.117,0.116,0.113,0.115,977 [Test]
,,0.075,0.075,0.077,0.077,0.077,0.077,0.077,0.079,0.077,0.076,0.075,0.076,900 [Ref]
,,0.207,0.211,0.218,0.223,0.226,0.223,0.229,0.213,0.221,0.222,0.212,0.218,Pathlength
,,0.091,0.091,0.094,0.09,0.09,0.094,0.088,0.102,0.088,0.089,0.087,0.088,562
,,0.44,0.433,0.431,0.405,0.399,0.421,0.383,0.479,0.398,0.4,0.411,0.405,Corrected [562]
,G,0.119,0.116,0.116,0.121,0.117,0.117,0.118,0.117,0.117,0.118,0.117,0.115,977 [Test]
,,0.08,0.075,0.076,0.08,0.078,0.077,0.078,0.081,0.077,0.075,0.076,0.076,900 [Ref]
,,0.221,0.225,0.217,0.228,0.217,0.221,0.223,0.202,0.222,0.234,0.228,0.217,Pathlength
,,0.118,0.111,0.106,0.102,0.101,0.099,0.091,0.095,0.09,0.084,0.086,0.084,562
,,0.533,0.492,0.489,0.446,0.465,0.449,0.406,0.469,0.407,0.359,0.376,0.386,Corrected [562]
,H,0.112,0.109,0.108,0.109,0.109,0.111,0.11,0.11,0.109,0.109,0.11,0.109,977 [Test]
,,0.077,0.075,0.074,0.074,0.075,0.078,0.076,0.075,0.075,0.075,0.076,0.075,900 [Ref]
,,0.193,0.191,0.188,0.191,0.191,0.184,0.192,0.19,0.19,0.188,0.188,0.187,Pathlength
,,0.08,0.078,0.078,0.078,0.078,0.081,0.078,0.078,0.078,0.078,0.078,0.078,562
,,0.416,0.408,0.413,0.408,0.407,0.439,0.407,0.411,0.409,0.416,0.416,0.418,Corrected [562]